City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,23.73,60,100,6.69,US,1707013020
1,kapa'a,22.0752,-159.319,24.99,62,100,11.32,US,1707013000
2,isafjordur,66.0755,-23.124,-4.44,91,99,7.6,IS,1707013020
3,puerto natales,-51.7236,-72.4875,7.92,84,100,1.35,CL,1707013020
4,pandan,14.0453,124.1694,27.67,74,32,2.83,PH,1707013020
5,papatowai,-46.5619,169.4708,20.16,53,100,6.8,NZ,1707013020
6,invercargill,-46.4,168.35,21.12,61,100,6.26,NZ,1707013020
7,udachny,66.4167,112.4,-31.45,82,73,1.35,RU,1707013020
8,st. john's,47.5649,-52.7093,-0.68,91,100,8.75,CA,1707013021
9,port said,31.2565,32.2841,13.35,64,21,6.81,EG,1707013021
10,bethel,41.3712,-73.414,2.09,61,100,1.54,US,1707013021
11,amungan,15.3652,119.9582,29.55,57,1,0.31,PH,1707012976
12,sidney,-33.8679,151.2073,36.29,60,0,6.17,AU,1707013001
13,hermanus,-34.4187,19.2345,23.22,87,37,2.79,ZA,1707013021
14,constantia,44.1833,28.65,4.38,79,100,6.53,RO,1707013021
15,aban,56.67,96.06,-23.93,100,100,1.52,RU,1707013021
16,wynyard,-41.0,145.7167,21.42,70,100,4.73,AU,1707013022
17,taoudenni,22.6783,-3.9836,16.24,15,30,7.81,ML,1707013022
18,balqash,46.8481,74.995,-11.67,85,0,4.0,KZ,1707013022
19,waitangi,-43.9535,-176.5597,17.68,67,8,7.54,NZ,1707013022
20,shanwei,22.782,115.3475,19.11,85,95,6.5,CN,1707013022
21,tiksi,71.6872,128.8694,-33.51,100,100,1.83,RU,1707013022
22,barra do bugres,-15.0725,-57.1811,22.98,88,100,1.76,BR,1707013023
23,ushuaia,-54.8,-68.3,8.81,71,0,1.54,AR,1707013023
24,anadyr,64.75,177.4833,-18.72,70,100,5.0,RU,1707013023
25,edinburgh of the seven seas,-37.0676,-12.3116,16.22,75,46,12.98,SH,1707013024
26,kabansk,52.0486,106.6528,-16.39,87,99,0.85,RU,1707013024
27,santa ana,33.7456,-117.8678,14.8,65,100,3.09,US,1707012867
28,tazacorte,28.629,-17.9293,19.53,29,0,4.47,ES,1707013025
29,adamstown,-25.066,-130.1015,25.59,71,100,1.89,PN,1707013025
30,djambala,-2.5447,14.7533,21.97,83,100,1.1,CG,1707013025
31,bredasdorp,-34.5322,20.0403,20.87,95,99,2.63,ZA,1707013026
32,klyuchi,52.2667,79.1667,-8.55,84,92,5.05,RU,1707013026
33,gadzhiyevo,69.2551,33.3362,-6.29,85,100,9.63,RU,1707013026
34,kapuskasing,49.4169,-82.4331,-2.95,93,0,2.06,CA,1707013026
35,atafu village,-8.5421,-172.5159,29.18,75,100,8.98,TK,1707013026
36,mar del plata,-38.0023,-57.5575,19.41,69,64,7.15,AR,1707012821
37,cabo san lucas,22.8909,-109.9124,21.53,66,0,1.34,MX,1707012788
38,kone,-21.0595,164.8658,30.71,70,100,4.31,NC,1707013027
39,port alfred,-33.5906,26.891,20.66,97,100,4.53,ZA,1707013027
40,port-aux-francais,-49.35,70.2167,6.61,87,93,8.43,TF,1707013027
41,jutai,-5.1833,-68.9,23.88,98,100,0.72,BR,1707013027
42,arinos,-15.9169,-46.1056,21.48,89,99,0.47,BR,1707013027
43,grytviken,-54.2811,-36.5092,10.16,75,94,3.88,GS,1707013028
44,utrik,11.2278,169.8474,26.56,77,96,8.39,MH,1707013028
45,kouango,4.9934,19.9619,24.23,29,100,1.23,CF,1707013028
46,gobabis,-22.45,18.9667,20.37,64,100,3.48,NA,1707013028
47,port elizabeth,-33.918,25.5701,22.83,95,100,0.89,ZA,1707013029
48,margaret river,-33.95,115.0667,17.79,52,75,6.58,AU,1707012885
49,sao joao da barra,-21.6403,-41.0511,25.1,89,100,3.62,BR,1707012771
50,ribeira grande,38.5167,-28.7,17.1,85,11,7.6,PT,1707013030
51,north bend,43.4065,-124.2243,9.36,81,0,2.57,US,1707013030
52,kolonia town,6.964,158.206,29.06,89,100,2.06,FM,1707013031
53,praia da vitoria,38.7333,-27.0667,15.98,94,20,4.74,PT,1707013031
54,medina sidonia,36.457,-5.9272,9.49,90,11,4.21,ES,1707013032
55,dublin,37.7021,-121.9358,11.36,80,100,4.12,US,1707013032
56,saint david's,12.0333,-61.6667,26.69,83,20,5.14,GD,1707013032
57,nagqu,31.5,92.0,-6.65,21,72,8.15,CN,1707013032
58,hamilton,39.1834,-84.5333,5.25,78,0,4.12,US,1707012833
59,yakeshi,49.2833,120.7333,-27.17,98,98,0.14,CN,1707013032
60,leava,-14.3,-178.1667,28.84,74,83,3.13,WF,1707013032
61,vorgashor,67.5833,63.95,-20.85,95,20,2.52,RU,1707013033
62,cucuta,7.8833,-72.5053,27.6,100,75,2.06,CO,1707012501
63,ambalangoda,6.2355,80.0538,25.18,89,99,1.86,LK,1707013033
64,nishinoomote,30.7333,131.0,15.31,100,75,3.09,JP,1707013033
65,qaqortoq,60.7167,-46.0333,-21.31,68,1,3.95,GL,1707013033
66,pahrump,36.2083,-115.9839,9.03,64,61,0.45,US,1707013033
67,vadso,70.0744,29.7487,-1.91,80,100,4.63,NO,1707013033
68,fort mcmurray,56.7268,-111.381,-8.23,86,0,2.06,CA,1707013014
69,dishna,26.1247,32.476,9.53,48,0,2.44,EG,1707013034
70,jayapura,-2.5333,140.7,33.66,63,59,3.21,ID,1707013034
71,eenhana,-17.4667,16.3333,19.45,92,100,1.59,NA,1707013034
72,torbat-e heydariyeh,35.274,59.2195,-1.72,67,1,0.74,IR,1707013035
73,rio gallegos,-51.6226,-69.2181,12.03,62,0,11.32,AR,1707013035
74,haiku-pauwela,20.9219,-156.3051,22.01,69,100,8.75,US,1707013035
75,port mathurin,-19.6833,63.4167,26.47,62,14,5.65,MU,1707012802
76,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,48,40,2.0,RU,1707013036
77,lompoc,34.6391,-120.4579,12.1,85,100,5.14,US,1707012925
78,nemuro,43.3236,145.575,-3.42,61,15,5.2,JP,1707012830
79,berezovyy,51.6667,135.7,-15.94,67,4,0.82,RU,1707013037
80,boa vista,2.8197,-60.6733,31.99,43,0,5.66,BR,1707012785
81,cidreira,-30.1811,-50.2056,23.88,88,100,7.49,BR,1707013037
82,pelabuhanratu,-6.9875,106.5514,26.07,87,100,2.26,ID,1707012937
83,nova vicosa,-17.8919,-39.3719,25.02,86,79,1.82,BR,1707013038
84,saint-joseph,-21.3667,55.6167,20.21,72,42,3.93,RE,1707013038
85,prince rupert,54.3161,-130.3201,3.83,80,0,6.17,CA,1707013038
86,iqaluit,63.7506,-68.5145,-26.84,68,0,3.09,CA,1707013038
87,rudnichnyy,59.617,52.4703,-16.22,99,90,1.52,RU,1707013038
88,necochea,-38.5473,-58.7368,17.2,56,100,7.48,AR,1707013039
89,enewetak,11.3474,162.3373,26.49,83,68,10.01,MH,1707013039
90,cannonvale,-20.2833,148.7,29.66,58,81,3.64,AU,1707013039
91,mariental,-24.6333,17.9667,25.15,52,100,4.16,NA,1707013040
92,dudinka,69.4058,86.1778,-14.07,94,100,5.36,RU,1707013040
93,yellowknife,62.456,-114.3525,-26.71,76,0,2.06,CA,1707013040
94,tchollire,8.4022,14.1698,20.15,21,23,0.68,CM,1707013040
95,bilibino,68.0546,166.4372,-28.02,83,18,2.68,RU,1707012911
96,cuttack,20.465,85.8793,21.1,80,0,0.99,IN,1707013041
97,vila franca do campo,37.7167,-25.4333,18.27,99,85,3.74,PT,1707012851
98,nikolayevsk-on-amure,53.1406,140.73,-17.21,81,33,2.55,RU,1707013041
99,polyarnyy,69.1989,33.4478,-6.02,85,100,9.82,RU,1707013041
100,keflavik,64.0049,-22.5624,-1.76,69,40,10.8,IS,1707013041
101,ust-nera,64.5667,143.2,-22.4,96,100,2.24,RU,1707013042
102,kenora,49.8167,-94.4337,-1.46,100,20,1.03,CA,1707013042
103,broome,42.2506,-75.833,-0.77,85,100,2.06,US,1707013042
104,puerto san jose,13.9256,-90.8244,25.62,70,2,5.29,GT,1707013042
105,akureyri,65.6835,-18.0878,-5.04,93,100,1.54,IS,1707013042
106,badger,64.8,-147.5333,-36.67,68,0,1.54,US,1707012933
107,groningen,53.25,6.75,6.76,89,55,4.63,NL,1707012919
108,tamandare,-8.7597,-35.1047,25.97,83,49,2.55,BR,1707013043
109,villacidro,39.4578,8.7406,9.14,93,0,2.67,IT,1707013043
110,whitehorse,60.7161,-135.0538,-26.22,59,20,3.09,CA,1707013044
111,saipan,15.1355,145.701,29.39,61,75,10.29,MP,1707013044
